,Year,Country,Poverty,Crime,Population
0,2016,Austria,496.0,22.0,8700471.0
1,2016,Belgium,739.0,23.8,11311117.0
2,2016,Bulgaria,442.0,33.5,7153784.0
3,2016,Croatia,130.0,6.7,4190669.0
4,2016,Cyprus,55.0,12.4,848319.0
5,2016,Czech Republic,314.0,17.3,10553843.0
6,2016,Denmark,316.0,13.9,5707251.0
7,2016,Estonia,111.0,12.7,1315944.0
8,2016,Finland,223.0,9.0,5487308.0
9,2016,France,3916.0,20.8,66638391.0
10,2016,Germany,5703.0,22.4,82175684.0
11,2016,Greece,763.0,18.1,10783748.0
12,2016,Hungary,221.0,9.8,9830485.0
13,2016,Iceland,18.0,2.8,332529.0
14,2016,Ireland,214.0,14.4,4726286.0
15,2016,Italy,4286.0,23.2,60665551.0
16,2016,Latvia,135.0,17.8,1968957.0
17,2016,Lithuania,143.0,5.3,2888558.0
18,2016,Luxembourg,17.0,14.1,576249.0
19,2016,Malta,67.0,10.9,450415.0
20,2016,Netherlands,1362.0,21.6,16979120.0
21,2016,North Macedonia,119.0,9.5,2071278.0
22,2016,Norway,222.0,7.8,5210721.0
23,2016,Poland,1329.0,10.9,37967209.0
24,2016,Portugal,793.0,10.7,10341330.0
25,2016,Romania,620.0,20.1,19760585.0
26,2016,Serbia,468.0,29.0,7076372.0
27,2016,Slovakia,83.0,9.5,5426252.0
28,2016,Slovenia,58.0,15.6,2064188.0
29,2016,Spain,4759.0,12.8,46440099.0
30,2016,Sweden,586.0,17.5,9851017.0
31,2016,Switzerland,371.0,17.4,8327126.0
32,2016,United Kingdom,6505.0,21.5,65379044.0
33,2017,Albania,147.0,0.6,2876591.0
34,2017,Austria,545.0,19.4,8772865.0
35,2017,Belgium,772.0,21.0,11351727.0
36,2017,Bulgaria,439.0,30.8,7101859.0
37,2017,Croatia,135.0,6.2,4154213.0
38,2017,Cyprus,56.0,15.3,854802.0
39,2017,Czech Republic,265.0,15.8,10578820.0
40,2017,Denmark,319.0,13.1,5748769.0
41,2017,Estonia,108.0,11.0,1315635.0
42,2017,Finland,224.0,9.4,5503297.0
43,2017,France,4038.0,19.0,66809816.0
44,2017,Germany,5563.0,23.6,82521653.0
45,2017,Greece,676.0,22.1,10768193.0
46,2017,Hungary,308.0,8.8,9797561.0
47,2017,Iceland,22.0,2.3,338349.0
48,2017,Ireland,218.0,16.3,4784383.0
49,2017,Italy,4334.0,18.8,60589445.0
50,2017,Latvia,142.0,13.2,1950116.0
51,2017,Lithuania,144.0,13.1,2847904.0
52,2017,Luxembourg,14.0,16.4,590667.0
53,2017,Malta,67.0,10.6,460297.0
54,2017,Netherlands,1433.0,19.1,17081507.0
55,2017,North Macedonia,124.0,6.0,2073702.0
56,2017,Norway,219.0,6.2,5258317.0
57,2017,Poland,1233.0,10.9,37972964.0
58,2017,Portugal,797.0,11.1,10309573.0
59,2017,Romania,349.0,14.9,19643949.0
60,2017,Serbia,433.0,21.1,7040272.0
